Feature,Mean |SHAP|
Bwd Packet Length Mean,0.24069071337284825
Bwd Packet Length Max,0.2405407579171781
Bwd Packet Length Std,0.2096754916786244
Avg Bwd Segment Size,0.1967025220577892
Packet Length Std,0.16120309844915054
Packet Length Variance,0.14372649038354124
Packet Length Mean,0.13799791847542683
Flow IAT Max,0.11310871321420446
Max Packet Length,0.10406339193406801
Average Packet Size,0.09685610727222388
